18:00 - 18:10,1.68,1.38,2.00
18:10 - 18:20,2.43,2.00,2.87
18:20 - 18:30,3.61,3.02,4.22
18:30 - 18:40,7.45,5.94,9.04
18:40 - 18:50,8.24,6.43,10.13
18:50 - 19:00,8.45,7.02,9.94
19:00 - 19:10,9.15,7.96,10.39
19:10 - 19:20,5.32,4.49,6.19
19:20 - 19:30,5.30,4.70,5.94
19:30 - 19:40,3.88,3.42,4.36
19:40 - 19:50,4.85,3.95,5.79
19:50 - 20:00,4.60,3.99,5.24
20:00 - 20:10,4.02,3.63,4.43
20:10 - 20:20,2.54,2.23,2.88
20:20 - 20:30,1.86,1.77,1.95
20:30 - 20:40,0.97,0.79,1.15
20:40 - 20:50,1.77,1.41,2.15
20:50 - 21:00,1.52,1.49,1.56
21:00 - 21:10,1.77,1.72,1.82
21:10 - 21:20,1.40,1.55,1.25
21:20 - 21:30,1.93,1.94,1.92
21:30 - 21:40,1.34,1.32,1.36
21:40 - 21:50,0.23,0.19,0.27
21:50 - 22:00,0.49,0.52,0.47
22:00 - 22:10,0.64,0.67,0.60
22:10 - 22:20,0.78,0.60,0.97
22:20 - 22:30,0.90,0.82,0.98
22:30 - 22:40,0.70,0.54,0.86
22:40 - 22:50,0.56,0.31,0.81
22:50 - 23:00,0.28,0.03,0.55
