18:00 ,1.32,0.88
18:10 ,1.65,1.26
18:20 ,1.73,1.50
18:30 ,1.34,0.85
18:40 ,1.21,0.66
18:50 ,0.97,0.45
19:00 ,1.03,0.68
19:10 ,1.41,1.16
19:20 ,1.27,1.11
19:30 ,1.14,0.93
19:40,1.14,0.84
19:50 ,0.93,0.73
20:00,0.82,0.61
20:10 ,0.96,0.83
20:20 ,1.32,1.17
20:30 ,1.23,1.23
20:40 ,0.98,1.03
20:50 ,0.57,0.53
21:00,0.59,0.44
21:10,0.55,0.62
21:20,0.51,0.52
21:30,0.43,0.34
21:40,0.47,0.26
21:50,0.48,0.34
22:00,0.42,0.46
22:10,0.37,0.38
22:20,0.27,0.34
22:30,0.31,0.36
22:40,0.22,0.28
22:50,0.17,0.18
23:00,0.23,0.15
